movie_id,date,domestic
2,2013-08-17,49809717
3,2013-08-17,407880990
4,2013-08-17,144765979
5,2013-08-17,226967532
6,2013-08-17,107092768
7,2013-08-17,238358265
8,2013-08-17,112200072
9,2013-08-17,115846027
10,2013-08-17,60424494
11,2013-08-17,44485689
12,2013-08-17,96505193
13,2013-08-17,289121541
14,2013-08-17,260673604
15,2013-08-17,197866133
16,2013-08-17,71947010
17,2013-08-17,154591632
18,2013-08-17,343206000
19,2013-08-17,87484971
20,2013-08-17,126210000
21,2013-08-17,97676467
22,2013-08-17,76579280
23,2013-08-17,50274891
24,2013-08-17,117318000
25,2013-08-17,53662000
26,2013-08-17,55349000
27,2013-08-17,46239000
28,2013-08-17,35564000
29,2013-08-17,5800000
1,2013-08-22,89107235
2,2013-08-22,49865403
3,2013-08-22,408195474
4,2013-08-22,144832760
5,2013-08-22,227244180
6,2013-08-22,107262963
7,2013-08-22,238486620
8,2013-08-22,112200072
9,2013-08-22,116072637
10,2013-08-22,60522097
11,2013-08-22,44580263
12,2013-08-22,96677932
13,2013-08-22,289816740
14,2013-08-22,261134998
15,2013-08-22,198482967
16,2013-08-22,72117169
17,2013-08-22,155766608
18,2013-08-22,347639040
19,2013-08-22,87707876
20,2013-08-22,127902874
21,2013-08-22,98691252
22,2013-08-22,78030734
23,2013-08-22,51195056
24,2013-08-22,122175650
25,2013-08-22,59129553
26,2013-08-22,61441670
27,2013-08-22,60691298
28,2013-08-22,49580473
29,2013-08-22,17256360
1,2013-08-24,89107235
2,2013-08-24,49872731
3,2013-08-24,408351942
4,2013-08-24,144840419
5,2013-08-24,227271488
6,2013-08-24,107279341
7,2013-08-24,238497875
8,2013-08-24,112200072
9,2013-08-24,116096827
10,2013-08-24,60522097
11,2013-08-24,44589845
12,2013-08-24,96677932
13,2013-08-24,289875976
14,2013-08-24,261420191
15,2013-08-24,198540021
16,2013-08-24,72117169
17,2013-08-24,155847878
18,2013-08-24,348808000
19,2013-08-24,87801908
20,2013-08-24,128044631
21,2013-08-24,98772359
22,2013-08-24,78142003
23,2013-08-24,51258889
24,2013-08-24,123311000
25,2013-08-24,60566000
26,2013-08-24,62961000
27,2013-08-24,63969000
28,2013-08-24,53335000
29,2013-08-24,19453000
30,2013-08-24,3484000
1,2013-08-29,89107235
2,2013-08-29,49875133
3,2013-08-29,408569263
4,2013-08-29,144840419
5,2013-08-29,227424110
6,2013-08-29,107377577
7,2013-08-29,238566985
8,2013-08-29,112200072
9,2013-08-29,116556914
10,2013-08-29,60522097
11,2013-08-29,44615732
12,2013-08-29,96771093
13,2013-08-29,290327998
14,2013-08-29,261811232
15,2013-08-29,198987069
16,2013-08-29,72425692
17,2013-08-29,156576368
18,2013-08-29,351676590
19,2013-08-29,87989692
20,2013-08-29,129164360
21,2013-08-29,99331880
22,2013-08-29,78988026
23,2013-08-29,51713680
24,2013-08-29,125895835
25,2013-08-29,63858424
26,2013-08-29,66409175
27,2013-08-29,71376029
28,2013-08-29,62330667
29,2013-08-29,24116745
30,2013-08-29,11170635
1,2013-08-31,89107235
2,2013-08-31,49875133
3,2013-08-31,408643923
4,2013-08-31,144840419
5,2013-08-31,227424110
6,2013-08-31,107384027
7,2013-08-31,238571890
8,2013-08-31,112200072
9,2013-08-31,116597845
10,2013-08-31,60522097
11,2013-08-31,44627014
12,2013-08-31,96771093
13,2013-08-31,290327998
14,2013-08-31,262002314
15,2013-08-31,198987069
16,2013-08-31,72425692
17,2013-08-31,156625657
18,2013-08-31,352530000
19,2013-08-31,88066903
20,2013-08-31,129224157
21,2013-08-31,99378000
22,2013-08-31,79047483
23,2013-08-31,51746096
24,2013-08-31,126534000
25,2013-08-31,64554000
26,2013-08-31,67366000
27,2013-08-31,73679000
28,2013-08-31,64798000
29,2013-08-31,25047000
30,2013-08-31,13148000
1,2013-09-05,89107235
2,2013-09-05,49875291
3,2013-09-05,408883156
4,2013-09-05,144840419
5,2013-09-05,228645663
6,2013-09-05,107456192
7,2013-09-05,238677795
8,2013-09-05,112200072
9,2013-09-05,117161752
10,2013-09-05,60522097
11,2013-09-05,44645496
12,2013-09-05,96924499
13,2013-09-05,290787683
14,2013-09-05,264449975
15,2013-09-05,200865872
16,2013-09-05,72834443
17,2013-09-05,157499140
18,2013-09-05,355983250
19,2013-09-05,88559338
20,2013-09-05,130246973
21,2013-09-05,100470416
22,2013-09-05,80153715
23,2013-09-05,52259425
24,2013-09-05,128565982
25,2013-09-05,67173384
26,2013-09-05,70505520
27,2013-09-05,81579355
28,2013-09-05,74645424
29,2013-09-05,27343815
30,2013-09-05,19141413
1,2013-09-07,89107235
2,2013-09-07,49875291
3,2013-09-07,408913036
4,2013-09-07,144840419
5,2013-09-07,228702543
6,2013-09-07,107458140
7,2013-09-07,238679850
8,2013-09-07,112200072
9,2013-09-07,117192258
10,2013-09-07,60522097
11,2013-09-07,44649370
12,2013-09-07,97531000
13,2013-09-07,290804657
14,2013-09-07,264537017
15,2013-09-07,200929601
16,2013-09-07,72834443
17,2013-09-07,157531986
18,2013-09-07,356404000
19,2013-09-07,88624301
20,2013-09-07,130274022
21,2013-09-07,100514594
22,2013-09-07,80184721
23,2013-09-07,52279730
24,2013-09-07,128662539
25,2013-09-07,67275199
26,2013-09-07,71087000
27,2013-09-07,82877000
28,2013-09-07,75897000
29,2013-09-07,27459035
30,2013-09-07,19469617
1,2013-09-12,89107235
2,2013-09-12,49875291
3,2013-09-12,408992272
4,2013-09-12,144840419
5,2013-09-12,228773450
6,2013-09-12,107497640
7,2013-09-12,238679850
8,2013-09-12,112200072
9,2013-09-12,117433604
10,2013-09-12,60522097
11,2013-09-12,44665963
12,2013-09-12,99474538
13,2013-09-12,290951711
14,2013-09-12,265067070
15,2013-09-12,201480800
16,2013-09-12,72997138
17,2013-09-12,157986711
18,2013-09-12,357768325
19,2013-09-12,88818158
20,2013-09-12,130648721
21,2013-09-12,100944226
22,2013-09-12,80680402
23,2013-09-12,52483860
24,2013-09-12,129607565
25,2013-09-12,68284398
26,2013-09-12,72467695
27,2013-09-12,86061753
28,2013-09-12,79727235
29,2013-09-12,28263370
30,2013-09-12,22472668
1,2013-09-14,89107235
2,2013-09-14,49875291
3,2013-09-14,409013994
4,2013-09-14,144840419
5,2013-09-14,228778661
6,2013-09-14,107499814
7,2013-09-14,238679850
8,2013-09-14,112200072
9,2013-09-14,117448424
10,2013-09-14,60522097
11,2013-09-14,44672764
12,2013-09-14,99926000
13,2013-09-14,290960548
14,2013-09-14,265092054
15,2013-09-14,201518833
16,2013-09-14,72997138
17,2013-09-14,158015132
18,2013-09-14,357831320
19,2013-09-14,88877083
20,2013-09-14,130648721
21,2013-09-14,100970269
22,2013-09-14,80700526
23,2013-09-14,52498164
24,2013-09-14,129660864
25,2013-09-14,68318793
26,2013-09-14,72578400
27,2013-09-14,86973000
28,2013-09-14,80625000
29,2013-09-14,28306400
30,2013-09-14,22664616
1,2013-09-19,89107235
2,2013-09-19,49875291
3,2013-09-19,409013994
4,2013-09-19,144840419
5,2013-09-19,228778661
6,2013-09-19,107515297
7,2013-09-19,238679850
8,2013-09-19,112200072
9,2013-09-19,117606892
10,2013-09-19,60522097
11,2013-09-19,44672764
12,2013-09-19,100698529
13,2013-09-19,291039585
14,2013-09-19,265455314
15,2013-09-19,201922757
16,2013-09-19,73103784
17,2013-09-19,158373189
18,2013-09-19,359310145
19,2013-09-19,89008027
20,2013-09-19,131017503
21,2013-09-19,101258211
22,2013-09-19,81205400
23,2013-09-19,52661999
24,2013-09-19,130380138
25,2013-09-19,68949842
26,2013-09-19,73726880
27,2013-09-19,89115717
28,2013-09-19,83521389
29,2013-09-19,28628915
30,2013-09-19,24385354
